SessionID,Timestamp,Event,SampleIndex,RawDistance_mm
20260915_160536,2026-09-15 16:08:24,DrainExp_InitialMeasurement,52,182
20260915_160536,2026-09-15 16:08:25,DrainExp_InitialMeasurement,53,182
20260915_160536,2026-09-15 16:08:25,DrainExp_InitialMeasurement,54,182
20260915_160536,2026-09-15 16:08:25,DrainExp_InitialMeasurement,55,183
20260915_160536,2026-09-15 16:08:25,DrainExp_InitialMeasurement,56,181
20260915_160536,2026-09-15 16:08:25,DrainExp_InitialMeasurement,57,181
20260915_160536,2026-09-15 16:08:26,DrainExp_InitialMeasurement,58,182
20260915_160536,2026-09-15 16:08:26,DrainExp_InitialMeasurement,59,183
20260915_160536,2026-09-15 16:08:26,DrainExp_InitialMeasurement,60,183
20260915_160536,2026-09-15 16:08:26,DrainExp_InitialMeasurement,61,182
20260915_160536,2026-09-15 16:08:26,DrainExp_InitialMeasurement,62,183
20260915_160536,2026-09-15 16:08:27,DrainExp_InitialMeasurement,63,181
20260915_160536,2026-09-15 16:08:27,DrainExp_InitialMeasurement,64,183
20260915_160536,2026-09-15 16:08:27,DrainExp_InitialMeasurement,65,182
20260915_160536,2026-09-15 16:08:27,DrainExp_InitialMeasurement,66,182
20260915_160536,2026-09-15 16:08:27,DrainExp_InitialMeasurement,67,182
20260915_160536,2026-09-15 16:08:28,DrainExp_InitialMeasurement,68,182
20260915_160536,2026-09-15 16:08:28,DrainExp_InitialMeasurement,69,182
20260915_160536,2026-09-15 16:08:28,DrainExp_InitialMeasurement,70,182
20260915_160536,2026-09-15 16:08:28,DrainExp_InitialMeasurement,71,182
20260915_160536,2026-09-15 16:08:28,DrainExp_InitialMeasurement,72,182
20260915_160536,2026-09-15 16:08:29,DrainExp_InitialMeasurement,73,182
20260915_160536,2026-09-15 16:08:29,DrainExp_InitialMeasurement,74,183
20260915_160536,2026-09-15 16:08:29,DrainExp_InitialMeasurement,75,183
20260915_160536,2026-09-15 16:08:29,DrainExp_InitialMeasurement,76,181
20260915_160536,2026-09-15 16:08:29,DrainExp_InitialMeasurement,77,182
20260915_160536,2026-09-15 16:08:30,DrainExp_InitialMeasurement,78,182
20260915_160536,2026-09-15 16:08:30,DrainExp_InitialMeasurement,79,182
20260915_160536,2026-09-15 16:08:30,DrainExp_InitialMeasurement,80,183
20260915_160536,2026-09-15 16:08:30,DrainExp_InitialMeasurement,81,182
20260915_160536,2026-09-15 16:08:30,DrainExp_InitialMeasurement,82,182
20260915_160536,2026-09-15 16:08:31,DrainExp_InitialMeasurement,83,183
20260915_160536,2026-09-15 16:08:31,DrainExp_InitialMeasurement,84,181
20260915_160536,2026-09-15 16:08:31,DrainExp_InitialMeasurement,85,181
20260915_160536,2026-09-15 16:08:31,DrainExp_InitialMeasurement,86,182
20260915_160536,2026-09-15 16:08:31,DrainExp_InitialMeasurement,87,182
20260915_160536,2026-09-15 16:08:32,DrainExp_InitialMeasurement,88,182
20260915_160536,2026-09-15 16:08:32,DrainExp_InitialMeasurement,89,182
20260915_160536,2026-09-15 16:08:32,DrainExp_InitialMeasurement,90,182
20260915_160536,2026-09-15 16:08:32,DrainExp_InitialMeasurement,91,183
20260915_160536,2026-09-15 16:08:32,DrainExp_InitialMeasurement,92,182
20260915_160536,2026-09-15 16:08:33,DrainExp_InitialMeasurement,93,182
20260915_160536,2026-09-15 16:08:33,DrainExp_InitialMeasurement,94,181
20260915_160536,2026-09-15 16:08:33,DrainExp_InitialMeasurement,95,181
20260915_160536,2026-09-15 16:08:33,DrainExp_InitialMeasurement,96,183
20260915_160536,2026-09-15 16:08:33,DrainExp_InitialMeasurement,97,182
20260915_160536,2026-09-15 16:08:34,DrainExp_InitialMeasurement,98,182
20260915_160536,2026-09-15 16:08:34,DrainExp_InitialMeasurement,99,182
20260915_160536,2026-09-15 16:08:34,DrainExp_InitialMeasurement,100,181
20260915_161741,2026-09-15 16:20:56,Calibration_TankBottom,1,480,0
20260915_161741,2026-09-15 16:20:57,Calibration_TankBottom,2,479,0
20260915_161741,2026-09-15 16:20:57,Calibration_TankBottom,3,478,0
20260915_161741,2026-09-15 16:20:57,Calibration_TankBottom,4,478,0
20260915_161741,2026-09-15 16:20:57,Calibration_TankBottom,5,479,0
20260915_161741,2026-09-15 16:20:57,Calibration_TankBottom,6,479,0
20260915_161741,2026-09-15 16:20:58,Calibration_TankBottom,7,478,0
20260915_161741,2026-09-15 16:20:58,Calibration_TankBottom,8,479,0
20260915_161741,2026-09-15 16:20:58,Calibration_TankBottom,9,478,0
20260915_161741,2026-09-15 16:20:58,Calibration_TankBottom,10,479,0
20260915_161741,2026-09-15 16:20:58,Calibration_TankBottom,11,478,0
20260915_161741,2026-09-15 16:20:59,Calibration_TankBottom,12,478,0
20260915_161741,2026-09-15 16:20:59,Calibration_TankBottom,13,478,0
20260915_161741,2026-09-15 16:20:59,Calibration_TankBottom,14,478,0
20260915_161741,2026-09-15 16:20:59,Calibration_TankBottom,15,477,0
20260915_161741,2026-09-15 16:20:59,Calibration_TankBottom,16,477,0
20260915_161741,2026-09-15 16:21:00,Calibration_TankBottom,17,478,0
20260915_161741,2026-09-15 16:21:00,Calibration_TankBottom,18,477,0
20260915_161741,2026-09-15 16:21:00,Calibration_TankBottom,19,478,0
20260915_161741,2026-09-15 16:21:00,Calibration_TankBottom,20,478,0
20260915_161741,2026-09-15 16:21:00,Calibration_TankBottom,21,477,0
20260915_161741,2026-09-15 16:21:01,Calibration_TankBottom,22,478,0
20260915_161741,2026-09-15 16:21:01,Calibration_TankBottom,23,478,0
20260915_161741,2026-09-15 16:21:01,Calibration_TankBottom,24,477,0
20260915_161741,2026-09-15 16:21:01,Calibration_TankBottom,25,478,0
20260915_161741,2026-09-15 16:21:01,Calibration_TankBottom,26,479,0
20260915_161741,2026-09-15 16:21:02,Calibration_TankBottom,27,479,0
20260915_161741,2026-09-15 16:21:02,Calibration_TankBottom,28,478,0
20260915_161741,2026-09-15 16:21:02,Calibration_TankBottom,29,479,0
20260915_161741,2026-09-15 16:21:02,Calibration_TankBottom,30,476,0
20260915_161741,2026-09-15 16:21:02,Calibration_TankBottom,31,477,0
20260915_161741,2026-09-15 16:21:03,Calibration_TankBottom,32,477,0
20260915_161741,2026-09-15 16:21:03,Calibration_TankBottom,33,477,0
20260915_161741,2026-09-15 16:21:03,Calibration_TankBottom,34,478,0
20260915_161741,2026-09-15 16:21:03,Calibration_TankBottom,35,477,0
20260915_161741,2026-09-15 16:21:03,Calibration_TankBottom,36,477,0
20260915_161741,2026-09-15 16:21:04,Calibration_TankBottom,37,478,0
20260915_161741,2026-09-15 16:21:04,Calibration_TankBottom,38,479,0
20260915_161741,2026-09-15 16:21:04,Calibration_TankBottom,39,478,0
20260915_161741,2026-09-15 16:21:04,Calibration_TankBottom,40,476,0
20260915_161741,2026-09-15 16:21:04,Calibration_TankBottom,41,478,0
20260915_161741,2026-09-15 16:21:05,Calibration_TankBottom,42,477,0
20260915_161741,2026-09-15 16:21:05,Calibration_TankBottom,43,477,0
20260915_161741,2026-09-15 16:21:05,Calibration_TankBottom,44,479,0
20260915_161741,2026-09-15 16:21:05,Calibration_TankBottom,45,477,0
20260915_161741,2026-09-15 16:21:05,Calibration_TankBottom,46,478,0
20260915_161741,2026-09-15 16:21:06,Calibration_TankBottom,47,478,0
20260915_161741,2026-09-15 16:21:06,Calibration_TankBottom,48,478,0
20260915_161741,2026-09-15 16:21:06,Calibration_TankBottom,49,477,0
20260915_161741,2026-09-15 16:21:06,Calibration_TankBottom,50,479,0
20260915_161741,2026-09-15 16:21:06,Calibration_TankBottom,51,477,0
20260915_161741,2026-09-15 16:21:07,Calibration_TankBottom,52,479,0
20260915_161741,2026-09-15 16:21:07,Calibration_TankBottom,53,477,0
20260915_161741,2026-09-15 16:21:07,Calibration_TankBottom,54,475,0
20260915_161741,2026-09-15 16:21:07,Calibration_TankBottom,55,477,0
20260915_161741,2026-09-15 16:21:08,Calibration_TankBottom,56,476,0
20260915_161741,2026-09-15 16:21:08,Calibration_TankBottom,57,477,0
20260915_161741,2026-09-15 16:21:08,Calibration_TankBottom,58,477,0
20260915_161741,2026-09-15 16:21:08,Calibration_TankBottom,59,477,0
20260915_161741,2026-09-15 16:21:08,Calibration_TankBottom,60,476,0
20260915_161741,2026-09-15 16:21:09,Calibration_TankBottom,61,477,0
20260915_161741,2026-09-15 16:21:09,Calibration_TankBottom,62,477,0
